Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0609504669332104	0.00626232850474658	0.00456988962285157
mcaja_ahorro	0.0534732824955181	0.0051069697008907	0.00746450648372971
ctrx_quarter	0.0396460582831952	0.004719903460175	0.00390190111649508
ctrx_quarter_normalizado_lag1	0.0286564722748311	0.00226940750949759	0.00376406221835802
Visa_status_tend6	0.0216784572842723	0.000761984511741679	0.000371104725753608
mpasivos_margen	0.0200490365734013	0.00414901298629107	0.00504702427024906
mcuentas_saldo	0.0188273422668218	0.0090278596122549	0.00846118774718226
mcaja_ahorro_lag1	0.0176095476617443	0.00320254756532343	0.00554536490197534
ctrx_quarter_lag1	0.0156904225119444	0.00194098956483477	0.0037852682026868
mtarjeta_visa_consumo	0.0152419188164336	0.00492664249419631	0.00436843277172818
ctarjeta_visa_trx	0.0147807765400054	0.00385064246221463	0.00468652253665985
mdescubierto_preacordado	0.0137447096908332	0.000776256122977416	0.000667988506356494
mcuenta_corriente	0.012410147092756	0.0036591181380226	0.00560898285496167
mpayroll	0.0115660035852847	0.00607624805117427	0.00231145229183676
cpayroll_trx	0.0110574746428611	0.00414966160167705	0.000933063310466214
mprestamos_personales	0.0105936688928967	0.00897337361678345	0.00261893906460403
mv_msaldototal	0.0102308797774774	0.00175242842034252	0.00247049717430259
mv_status04_tend6	0.0102257538690308	0.00107655806077096	0.00034989874142483
mdescubierto_preacordado_delta1	0.00996872531220956	0.00426282460454642	0.000774018428000382
mcuenta_corriente_tend6	0.00910305847036116	0.00468179076175087	0.00543933498033145
mv_status04	0.0086315140105296	0.00048993361626112	0.000360501733589219
mprestamos_personales_tend6	0.00860237477302904	0.0058461633925875	0.00238567323698748
mpayroll_sobre_edad	0.00844811842146131	0.00522922775160463	0.00218421638586409
mprestamos_personales_lag1	0.00801275872568147	0.00227946016514482	0.00163286079331587
mpasivos_margen_lag1	0.00771285374023191	0.00263602183003404	0.00468652253665985
mcuentas_saldo_tend6	0.00705093660872245	0.0028089000548214	0.00497280332509834
mdescubierto_preacordado_tend6	0.00625734344828769	0.00317213442054497	0.000721003467178438
foto_mes	0.00606921050254511	0.00525342573463033	0.00608611750235917
ctarjeta_visa_tend6	0.00578078237363939	0.000416187605271653	0.000116632913808277
porcentaje_pay	0.00550659644630738	0.00321067372042488	0.00174949370712415
mactivos_margen	0.0054883172702754	0.00460586767847699	0.00602249954937283
cproductos_tend6	0.00535220074239897	0.00369628251760864	0.0019827595347407
mes	0.00500780483248353	0.00462606165716057	0.00500461230159151
cprestamos_personales_tend6	0.00497145345582851	0.00319420208318235	0.00088004834964427
cliente_edad	0.00489613598018571	0.00587527032470263	0.00898073436323731
ccomisiones_mantenimiento_tend6	0.00461989080377836	0.00463568809519352	0.00178130268361732
mv_msaldopesos	0.00461141024234456	0.00195448696774199	0.00270376300191914
Visa_msaldopesos	0.00426725157922284	0.00213871515571684	0.00346717843775513
Master_fechaalta	0.00409438719610277	0.00408936439925946	0.00678591498520883
cliente_edad_lag1	0.00401204655372593	0.00552685500497837	0.00778259624866137
mpayroll_dif	0.00388794288639736	0.00353839929176942	0.00190853858958998
mcaja_ahorro_dolares_delta1	0.00381083057589143	0.00460065979361848	0.00287341087654936
mdescubierto_preacordado_lag1	0.00380406601949314	0.00027435732235432	0.000392310710082385
mcomisiones_mantenimiento_tend6	0.00377750600596516	0.00586896987336604	0.00353079639074147
mv_status07_tend6	0.00377234348039075	0.00110578651710861	0.000339295749260441
mactivos_margen_lag1	0.00362008670719926	0.00365294105334778	0.00617094143967428
mrentabilidad_annual	0.00355799990410038	0.00303883010204738	0.0048243614347969
ctarjeta_master_tend6	0.00342358247133695	0.000504240771220813	0.000127235905972666
mcaja_ahorro_delta1	0.00323433231275157	0.00524883015375083	0.00410335796761846
Visa_fechaalta_lag1	0.00323234479220325	0.00210831406356184	0.00517426017622173
mcuenta_corriente_lag1	0.00320431752218989	0.00313795225919767	0.00476074348181057
mvr_msaldopesos	0.00313311788803193	0.0013693308705499	0.00205698047989143
variabilidad_ren	0.00312546756370579	0.00193632082376319	0.00476074348181057
Visa_mpagospesos	0.0030527967966909	0.00168868155749359	0.00314908867282347
numero_de_cliente	0.00299330700777949	0.00329741222919746	0.00654204616542788
mrentabilidad_annual_lag1	0.00283533864947213	0.00291148000984308	0.00564079183145484
