lote	time	secs	mem	CPU	GB
1	20220521 234832	0	53	59	15999
1	20220521 235322	290	74	2	15999
1	20220521 235327	295	86	15	15999
1	20220521 235332	300	98	16	15999
1	20220521 235342	310	41	10	15999
1	20220521 235847	615	41	0	15999
1	20220522 000342	910	48	0	15999
1	20220522 000347	915	58	15	15999
1	20220522 000352	920	70	15	15999
1	20220522 000357	925	81	16	15999
1	20220522 000402	930	93	15	15999
1	20220522 000407	935	99	16	15999
1	20220522 000412	940	31	10	15999
1	20220522 000917	1245	31	0	15999
2	20220613 194516	0	1	7	128822
2	20220613 194811	175	14	9	128822
2	20220613 194816	180	18	14	128822
2	20220613 194826	190	11	39	128822
2	20220613 194846	210	22	15	128822
2	20220613 194851	215	26	12	128822
2	20220613 195356	520	31	95	128822
2	20220613 195901	825	31	75	128822
2	20220613 200406	1130	31	99	128822
2	20220613 200911	1435	32	99	128822
2	20220613 201416	1740	32	99	128822
2	20220613 201921	2045	32	99	128822
2	20220613 202426	2350	33	99	128822
2	20220613 202931	2655	33	99	128822
2	20220613 203436	2960	36	98	128822
2	20220613 203941	3265	38	98	128822
2	20220613 204446	3570	38	99	128822
2	20220613 204951	3875	41	98	128822
2	20220613 205456	4180	42	99	128822
2	20220613 210001	4485	44	98	128822
2	20220613 210506	4790	46	98	128822
2	20220613 211011	5095	47	99	128822
2	20220613 211101	5145	36	97	128822
2	20220613 211606	5450	36	99	128822
2	20220613 212111	5755	36	99	128822
2	20220613 212616	6060	36	99	128822
2	20220613 213121	6365	36	99	128822
2	20220613 213626	6670	38	98	128822
2	20220613 214131	6975	38	99	128822
2	20220613 214636	7280	41	98	128822
2	20220613 215141	7585	43	98	128822
2	20220613 215646	7890	43	99	128822
2	20220613 220151	8195	46	98	128822
2	20220613 220656	8500	46	99	128822
2	20220613 221201	8805	48	98	128822
2	20220613 221526	9010	40	99	128822
2	20220613 222031	9315	40	99	128822
2	20220613 222536	9620	40	98	128822
2	20220613 223041	9925	40	99	128822
2	20220613 223546	10230	40	99	128822
2	20220613 224051	10535	41	98	128822
2	20220613 224556	10840	41	99	128822
2	20220613 225101	11145	43	98	128822
2	20220613 225606	11450	46	98	128822
2	20220613 230111	11755	46	99	128822
2	20220613 230616	12060	48	98	128822
2	20220613 231121	12365	48	99	128822
2	20220613 231146	12390	42	94	128822
2	20220613 231651	12695	42	99	128822
2	20220613 232156	13000	42	99	128822
2	20220613 232701	13305	42	99	128822
2	20220613 233206	13610	42	98	128822
2	20220613 233711	13915	44	98	128822
2	20220613 234216	14220	44	99	128822
2	20220613 234721	14525	46	98	128822
2	20220613 235226	14830	48	98	128822
2	20220613 235731	15135	48	99	128822
2	20220614 000236	15440	45	98	128822
2	20220614 000741	15745	45	99	128822
2	20220614 001246	16050	45	99	128822
2	20220614 001751	16355	45	99	128822
2	20220614 002256	16660	45	99	128822
2	20220614 002801	16965	46	98	128822
2	20220614 003306	17270	48	99	128822
2	20220614 003811	17575	48	99	128822
2	20220614 004316	17880	50	98	128822
2	20220614 004821	18185	50	99	128822
2	20220614 004921	18245	46	98	128822
2	20220614 005426	18550	46	99	128822
2	20220614 005931	18855	46	99	128822
2	20220614 010436	19160	46	99	128822
2	20220614 010941	19465	47	99	128822
2	20220614 011446	19770	49	98	128822
2	20220614 011951	20075	49	99	128822
2	20220614 012456	20380	51	98	128822
2	20220614 012951	20675	47	99	128822
2	20220614 013456	20980	47	99	128822
2	20220614 014001	21285	47	99	128822
2	20220614 014506	21590	47	99	128822
2	20220614 015011	21895	49	98	128822
2	20220614 015516	22200	51	98	128822
2	20220614 020021	22505	51	99	128822
2	20220614 020526	22810	49	99	128822
2	20220614 021031	23115	50	99	128822
2	20220614 021536	23420	50	99	128822
2	20220614 022041	23725	51	99	128822
2	20220614 022546	24030	51	99	128822
2	20220614 023051	24335	53	98	128822
2	20220614 023426	24550	39	97	128822
2	20220614 023931	24855	39	98	128822
2	20220614 024321	25085	4	80	128822
