archivo	iteracion_bayesiana	ganancia	corte
ZZ8420B_039_09000.csv	39	15566000	9000
ZZ8420B_039_09500.csv	39	15566000	9500
ZZ8420B_039_10000.csv	39	15566000	10000
ZZ8420B_039_10500.csv	39	15566000	10500
ZZ8420B_039_11000.csv	39	15566000	11000
ZZ8420B_039_11500.csv	39	15566000	11500
ZZ8420B_039_12000.csv	39	15566000	12000
ZZ8420B_039_12500.csv	39	15566000	12500
ZZ8420B_039_13000.csv	39	15566000	13000
ZZ8420B_semillerio_039_09000.csv	39	15566000	9000
ZZ8420B_semillerio_039_09500.csv	39	15566000	9500
ZZ8420B_semillerio_039_10000.csv	39	15566000	10000
ZZ8420B_semillerio_039_10500.csv	39	15566000	10500
ZZ8420B_semillerio_039_11000.csv	39	15566000	11000
ZZ8420B_semillerio_039_11500.csv	39	15566000	11500
ZZ8420B_semillerio_039_12000.csv	39	15566000	12000
ZZ8420B_semillerio_039_12500.csv	39	15566000	12500
ZZ8420B_semillerio_039_13000.csv	39	15566000	13000
